股票代码,最新价,支撑位,量能萎缩比,历史信号胜率,信号强度,操作建议,name
603336,7.62,7.67,38.4%,100.0%,90,极度缩量守住支撑，建议分批建仓，破支撑位3%止损,宏辉果蔬
600615,9.39,9.17,31.9%,75.0%,80,建议观察，待放量确认,鑫源智造
002772,12.72,12.61,34.8%,65.9%,80,建议观察，待放量确认,众兴菌业
000729,10.85,11.07,44.9%,51.4%,80,建议观察，待放量确认,燕京啤酒
600299,7.9,7.92,35.4%,66.7%,80,建议观察，待放量确认,安迪苏
002601,16.0,15.7,20.7%,100.0%,80,建议观察，待放量确认,龙佰集团
002277,5.85,5.7,41.3%,50.8%,80,建议观察，待放量确认,友阿股份
600618,10.03,9.98,35.7%,50.9%,80,建议观察，待放量确认,氯碱化工
601156,16.46,16.0,31.2%,70.0%,80,建议观察，待放量确认,东航物流
002577,18.48,18.05,26.9%,100.0%,80,建议观察，待放量确认,雷柏科技
002860,16.32,15.97,44.8%,54.5%,80,建议观察，待放量确认,星帅尔
002139,9.82,9.79,41.4%,51.7%,80,建议观察，待放量确认,拓邦股份
601918,9.41,9.15,40.4%,100.0%,80,建议观察，待放量确认,新集能源
002452,11.18,11.2,38.5%,80.0%,80,建议观察，待放量确认,长高电新
