Code,Name,Latest_Close,Latest_Volume,Max_Volume_120d,Low_Price_40d_Threshold
000783,长江证券,7.96,482145,76667158,7.9909
002681,奋达科技,6.28,239074,46654595,6.3043000000000005
002515,金字火腿,5.95,137211,21044015,5.9833
600918,中泰证券,6.4,242397,46311023,6.4014
600635,大众公用,6.27,338353,93962542,6.297
002117,东港股份,11.62,58499,10184008,11.6501
002176,江特电机,9.0,359931,97234053,9.0031
000061,农 产 品,9.19,147976,18952988,9.2311
600679,上海凤凰,12.91,46698,4609001,12.9661
600930,华电新能,5.95,420302,103270258,5.9749
601901,方正证券,7.74,433081,141783448,7.7435
002139,拓邦股份,12.7,143086,29724833,12.753699999999998
002123,梦网科技,11.67,156527,25847896,11.671
600712,南宁百货,6.52,106372,10091262,6.5369
000759,中百集团,7.2,381217,24965144,7.202800000000001
601038,一拖股份,13.64,122029,10976219,13.6811
603636,南威软件,11.18,97935,15759149,11.199300000000001
605008,长鸿高科,13.44,24449,4205366,13.4842
600095,湘财股份,10.93,259148,32561074,10.9594
002212,天融信,8.42,245539,37660351,8.4725
000911,广农糖业,6.66,143732,8165800,6.685
600127,金健米业,6.68,231799,28609901,6.6883
002051,中工国际,8.55,198179,15594618,8.550699999999999
002023,海特高新,11.78,185197,32065515,11.8883
002174,游族网络,11.32,218351,35956945,11.3505
603990,麦迪科技,14.82,71412,13718472,14.853100000000001
603660,苏州科达,9.66,188320,39407981,9.7368
601288,农业银行,6.67,3360799,685079166,6.6981
000735,罗 牛 山,7.74,373088,33586372,7.8429
601086,国芳集团,9.96,178730,10116591,9.9612
600212,绿能慧充,7.72,66677,31443753,7.7273000000000005
